character,frequency,is_variant,filter_layer,reason,modern_equivalents
疎,1739,True,1,Unihan variant of {'疏'},疏
劒,1320,False,,passed all layers — likely truly disappeared,
鴈,921,True,1,Unihan variant of {'雁'},雁
猨,779,True,1,Unihan variant of {'猿'},猿
遶,735,False,,passed all layers — likely truly disappeared,
慙,704,False,,passed all layers — likely truly disappeared,
簷,528,True,1,Unihan variant of {'檐'},檐
鬬,490,False,,passed all layers — likely truly disappeared,
徧,392,True,1,Unihan variant of {'遍'},遍
櫂,373,True,1,Unihan variant of {'棹'},棹
斾,351,True,1,Unihan variant of {'旆'},旆
媿,346,True,1,Unihan variant of {'愧'},愧
谿,340,False,,passed all layers — likely truly disappeared,
嬾,332,False,,passed all layers — likely truly disappeared,
蘂,327,True,1,Unihan variant of {'蕊'},蕊
幷,327,True,1,Unihan variant of {'并'},并
堦,300,False,,passed all layers — likely truly disappeared,
迳,291,False,,passed all layers — likely truly disappeared,
褭,278,False,,passed all layers — likely truly disappeared,
覩,264,True,1,Unihan variant of {'睹'},睹
臯,252,True,1,Unihan variant of {'皋'},皋
珮,250,False,,passed all layers — likely truly disappeared,
廻,238,True,1,Unihan variant of {'回'},回
飜,217,True,1,Unihan variant of {'翻'},翻
髪,208,False,,passed all layers — likely truly disappeared,
暎,193,True,1,Unihan variant of {'映'},映
桮,170,False,,passed all layers — likely truly disappeared,
隣,157,False,,passed all layers — likely truly disappeared,
妬,156,True,1,Unihan variant of {'妒'},妒
檝,145,True,1,Unihan variant of {'楫'},楫
呌,139,True,1,Unihan variant of {'叫'},叫
竝,138,True,1,Unihan variant of {'并'},并
顇,130,False,,passed all layers — likely truly disappeared,
巵,127,False,,passed all layers — likely truly disappeared,
罇,126,True,1,Unihan variant of {'樽'},樽
鏁,124,False,,passed all layers — likely truly disappeared,
鼇,124,False,,passed all layers — likely truly disappeared,
逈,123,False,,passed all layers — likely truly disappeared,
羇,123,False,,passed all layers — likely truly disappeared,
顦,123,True,1,Unihan variant of {'憔'},憔
珪,121,True,1,Unihan variant of {'圭'},圭
鵶,116,False,,passed all layers — likely truly disappeared,
僊,113,True,1,Unihan variant of {'仙'},仙
讐,105,True,1,Unihan variant of {'仇'},仇
緜,104,False,,passed all layers — likely truly disappeared,
隄,104,True,1,Unihan variant of {'堤'},堤
缾,101,True,1,Unihan variant of {'瓶'},瓶
壻,97,True,1,Unihan variant of {'婿'},婿
栢,95,True,1,Unihan variant of {'柏'},柏
粧,92,False,,passed all layers — likely truly disappeared,
麤,92,True,1,Unihan variant of {'粗'},粗
棃,91,True,1,Unihan variant of {'梨'},梨
鸎,86,False,,passed all layers — likely truly disappeared,
筯,83,True,1,Unihan variant of {'箸'},箸
帬,82,True,1,Unihan variant of {'裙'},裙
碁,81,True,1,Unihan variant of {'棋'},棋
牓,79,False,,passed all layers — likely truly disappeared,
懃,79,False,,passed all layers — likely truly disappeared,
牕,79,True,1,Unihan variant of {'窗'},窗
醆,77,False,,passed all layers — likely truly disappeared,
藂,76,False,,passed all layers — likely truly disappeared,
筿,73,False,,passed all layers — likely truly disappeared,
趂,73,True,1,Unihan variant of {'趁'},趁
邨,69,True,1,Unihan variant of {'村'},村
懽,68,True,1,Unihan variant of {'欢'},欢
蒨,64,True,1,Unihan variant of {'茜'},茜
飡,64,True,1,Unihan variant of {'餐'},餐
虵,63,False,,passed all layers — likely truly disappeared,
悮,63,False,,passed all layers — likely truly disappeared,
蔕,57,False,,passed all layers — likely truly disappeared,
徴,57,False,,passed all layers — likely truly disappeared,
峩,56,True,1,Unihan variant of {'峨'},峨
輭,54,False,,passed all layers — likely truly disappeared,
袴,54,False,,passed all layers — likely truly disappeared,
汚,53,False,,passed all layers — likely truly disappeared,
甿,52,True,1,Unihan variant of {'氓'},氓
舃,52,True,1,Unihan variant of {'舄'},舄
効,51,True,1,Unihan variant of {'效'},效
衞,50,False,,passed all layers — likely truly disappeared,
浐,50,False,,passed all layers — likely truly disappeared,
